Date,Alpine,Ararat,Ballarat,Banyule,Bass Coast,Baw Baw,Bayside,Benalla,Boroondara,Brimbank,Buloke,Campaspe,Cardinia,Casey,Central Goldfields,Colac Otway,Corangamite,Darebin,East Gippsland,Frankston,Gannawarra,Glen Eira,Glenelg,Golden Plains,Greater Bendigo,Greater Dandenong,Greater Geelong,Greater Shepparton,Hepburn,Hindmarsh,Hobsons Bay,Horsham,Hume,Indigo,Kingston,Knox,Latrobe,Loddon,Macedon Ranges,Manningham,Mansfield,Maribyrnong,Maroondah,Melbourne,Melton,Mildura,Mitchell,Moira,Monash,Moonee Valley,Moorabool,Moreland,Mornington Peninsula,Mount Alexander,Moyne,Murrindindi,Nillumbik,Northern Grampians,Port Phillip,Pyrenees,Queenscliffe,South Gippsland,Southern Grampians,Stonnington,Strathbogie,Surf Coast,Swan Hill,Towong,Wangaratta,Warrnambool,Wellington,West Wimmera,Whitehorse,Whittlesea,Wodonga,Wyndham,Yarra,Yarra Ranges,Yarriambiack
24/09,1,7,57,438,11,15,250,3,267,2035,0,9,207,1042,2,136,3,647,5,239,2,219,20,18,102,513,366,49,2,0,491,14,1648,1,299,160,57,4,58,167,10,596,104,879,1137,6,85,12,314,807,39,1042,181,9,1,9,138,3,290,3,2,11,2,252,2,17,5,0,2,13,15,1,207,1197,2,2240,456,251,1
25/09,1,7,57,437,11,15,246,3,266,2031,0,9,204,1036,2,136,3,643,7,241,2,223,20,18,101,528,366,49,2,0,491,14,1650,1,300,163,57,4,58,163,10,593,104,884,1131,6,84,12,319,802,39,1051,180,9,1,9,137,3,289,3,2,11,2,258,2,16,5,0,2,13,15,1,207,1196,3,2248,453,253,1
26/09,1,7,57,436,11,15,246,3,266,2030,0,9,204,1036,2,136,3,643,7,241,2,223,20,18,101,530,366,49,2,0,490,14,1649,1,299,163,57,4,58,164,10,592,104,883,1132,6,85,12,319,807,39,1047,180,9,1,9,137,3,289,3,2,11,2,258,2,16,5,0,2,13,15,1,207,1195,2,2257,458,253,1
27/09,1,7,57,436,11,15,246,3,266,2033,0,9,204,1036,2,136,3,643,7,246,2,223,20,18,101,530,366,49,2,0,493,14,1649,1,299,163,57,4,58,164,10,592,104,882,1132,6,85,12,319,807,39,1046,180,9,1,9,137,3,289,3,2,11,2,258,2,16,5,0,2,13,15,1,207,1196,2,2262,460,252,1
28/09,1,7,57,435,11,15,246,3,266,2034,0,9,204,1037,2,136,3,643,7,246,2,224,20,18,101,530,366,49,2,0,492,14,1645,1,299,163,57,4,58,164,10,592,104,882,1132,6,85,12,319,808,39,1046,180,9,1,9,137,3,289,3,2,11,2,258,2,16,5,0,2,13,15,1,207,1201,2,2263,459,252,1
29/09,1,7,57,435,11,15,246,3,266,2034,0,9,204,1039,2,136,3,643,7,246,2,224,20,18,101,530,366,49,2,0,493,14,1645,1,299,164,57,4,58,164,10,592,104,882,1132,6,85,12,321,809,39,1047,180,9,1,9,137,3,289,3,2,11,2,258,2,16,5,0,2,13,15,1,207,1201,2,2264,459,252,1
30/09,1,7,57,435,11,15,246,3,267,2034,0,9,204,1039,2,136,3,643,7,246,2,224,20,18,101,531,366,49,2,0,493,14,1645,1,300,164,57,4,58,164,10,592,104,881,1135,6,85,12,323,810,39,1047,180,9,1,9,137,3,289,3,2,11,2,260,2,16,5,0,2,13,15,1,208,1201,2,2264,459,252,1
01/10,1,7,57,435,11,15,246,3,268,2034,0,9,204,1044,2,136,3,643,7,246,2,225,20,18,101,532,366,49,2,0,493,14,1645,1,301,164,57,4,58,164,10,594,104,882,1135,6,85,12,325,810,39,1047,180,9,1,9,137,3,289,3,2,11,2,259,2,16,5,0,2,13,15,1,208,1201,2,2264,460,252,1
02/10,1,7,57,435,11,15,246,3,268,2034,0,9,204,1045,2,136,3,643,7,246,2,225,20,18,101,532,366,49,2,0,493,14,1646,1,301,164,57,4,58,164,10,594,104,882,1136,6,85,12,326,810,39,1048,180,9,1,9,137,3,289,3,2,11,2,259,2,16,5,0,2,13,15,1,208,1201,2,2265,460,252,1
03/10,1,7,57,435,11,15,245,3,269,2036,0,9,204,1046,2,136,3,642,7,244,2,225,20,18,101,532,366,49,2,0,493,14,1645,1,301,164,57,4,58,164,10,594,104,881,1137,6,85,12,328,810,39,1048,184,9,1,9,137,3,289,3,2,11,2,259,2,16,5,0,2,13,15,1,209,1202,2,2266,460,252,1
